qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,200679,372946,573625
fc_a_001,ABD,2711,1545,4256
fc_a_002,AD,1855,2114,3969
fc_a_003,A,826,2454,3280
fc_a_004,C,3363,6513,9876
fc_a_005,ABD,2693,2786,5479
fc_a_006,A,1346,1871,3217
fc_a_007,D,1781,9055,10836
fc_a_008,D,1881,4489,6370
fc_a_009,B,1697,4271,5968
fc_a_010,A,2970,3342,6312
fc_a_011,AB,1604,3995,5599
fc_a_012,AC,3020,2543,5563
fc_a_013,B,1598,3238,4836
fc_a_014,B,1351,3883,5234
fc_a_015,A,1570,5658,7228
fc_a_016,ABC,1629,1703,3332
fc_a_017,A,2564,2471,5035
fc_a_018,B,1516,5238,6754
fc_a_019,B,2913,3713,6626
fc_a_020,D,2338,7040,9378
fin_a_001,AB,3864,2780,6644
fin_a_002,A,3068,7272,10340
fin_a_003,A,3039,2916,5955
fin_a_004,ABD,3148,2607,5755
fin_a_005,AD,2877,4019,6896
fin_a_006,B,2018,10242,12260
fin_a_007,D,3056,5869,8925
fin_a_008,B,3358,13890,17248
fin_a_009,AC,3851,4307,8158
fin_a_010,A,3853,2858,6711
fin_a_011,D,2082,4054,6136
fin_a_012,,4613,5837,10450
fin_a_013,A,3150,6074,9224
fin_a_014,D,2463,12699,15162
fin_a_015,A,2985,10683,13668
fin_a_016,AD,3673,4909,8582
fin_a_017,AC,3045,2660,5705
fin_a_018,B,1702,5687,7389
fin_a_019,AB,2926,3201,6127
fin_a_020,B,2485,5825,8310
ins_a_001,D,971,15778,16749
ins_a_002,A,973,3454,4427
ins_a_003,B,1809,8644,10453
ins_a_004,A,1451,3945,5396
ins_a_005,ABC,584,3071,3655
ins_a_006,C,1891,14244,16135
ins_a_007,A,1044,6432,7476
ins_a_008,C,1744,4161,5905
ins_a_009,C,824,4271,5095
ins_a_010,AB,1175,6082,7257
ins_a_011,B,1898,6888,8786
ins_a_012,A,1608,4802,6410
ins_a_013,C,1146,4375,5521
ins_a_014,D,1243,7329,8572
ins_a_015,AB,673,7569,8242
ins_a_016,CD,753,4678,5431
ins_a_017,BC,1264,2877,4141
ins_a_018,BC,1726,5542,7268
ins_a_019,A,696,2417,3113
ins_a_020,C,2410,9509,11919
res_a_001,AB,3259,3011,6270
res_a_002,AC,5428,3340,8768
res_a_003,A,4640,5888,10528
res_a_004,AB,4581,2969,7550
res_a_005,ABC,4536,2369,6905
res_a_006,B,4550,3845,8395
res_a_007,AC,1936,1878,3814
res_a_008,A,2032,1215,3247
res_a_009,BC,2017,1123,3140
res_a_010,A,1736,2745,4481
res_a_011,ABC,1940,1251,3191
res_a_012,ABC,2152,1014,3166
res_a_013,B,4109,1449,5558
res_a_014,ABC,4662,2171,6833
res_a_015,A,2462,1801,4263
res_a_016,ACD,4066,1360,5426
res_a_017,AD,5444,6563,12007
res_a_018,B,3922,3896,7818
res_a_019,AB,4113,1206,5319
res_a_020,AB,4729,1473,6202
